"module","gene"
"7","SRGN"
"7","SH2D2A"
"7","SELL"
"7","SLAMF7"
"7","KYNU"
"7","PRKCQ"
"7","ITGAX"
"7","GPR183"
"7","SIGLEC9"
"7","FCGR3A"
"7","SASH3"
"7","CD274"
"7","CD7"
"7","SERPINB9"
"7","PLEK"
"7","CD53"
"7","CD28"
"7","CD5"
"7","RGS1"
"7","FCGR2A"
"7","GZMB"
"7","CTLA4"
"7","THY1"
"7","IL7R"
"7","ITGAL"
"7","IL4I1"
"7","TNFRSF4"
"7","ICOS"
"7","SLAMF1"
"7","BATF3"
"7","TIGIT"
"7","LGALS9C"
"7","PTPRC"
"7","CARD11"
"7","CD247"
"7","CD27"
"7","SH2D1A"
"7","MATK"
"7","CD6"
"7","CD2"
"7","CR1"
"7","CD226"
"7","PDCD1"
"7","ITK"
"7","IDO1"
"7","TNFRSF9"
"7","CD3D"
"7","CD69"
"7","GNLY"
"7","CD1B"
"2","MMP1"
"2","TCN1"
"2","BTC"
"2","MMP9"
"2","FSCN1"
"2","PLAUR"
"2","COL4A1"
"2","COL15A1"
"2","EPGN"
"2","FCN1"
"2","SERPINE1"
"2","PLA2G4D"
"2","HBEGF"
"2","PGF"
"2","LRP8"
"2","LYZ"
"2","COL4A4"
"2","AREG"
"2","ANGPTL4"
"2","PTGS2"
"2","PLA2G2A"
"2","MMP25"
"2","THBS1"
"2","FGFBP1"
"2","TEX101"
"2","PLAT"
"2","PTX3"
"2","LTF"
"2","ALOX15"
"2","ERBB4"
"2","LCN2"
"2","FGF10"
"2","SPP1"
"3","SELE"
"3","FPR1"
"3","SELP"
"3","IL36G"
"3","CXCR1"
"3","IL1RL1"
"3","CCR7"
"3","CCR1"
"3","CCR5"
"3","C5AR1"
"3","CXCR3"
"3","CCL2"
"3","GBP5"
"3","CCR2"
"3","CCL19"
"3","CCR4"
"3","CXCR6"
"3","IL1B"
"3","LTB"
"3","CCL17"
"3","CCL5"
"3","ACKR2"
"3","CCL22"
"3","CCL18"
"3","CXCL9"
"3","MMP12"
"3","CXCL10"
"3","SAA1"
"1","KRT6C"
"1","KRT16"
"1","PI3"
"1","KRT6A"
"1","DSC2"
"1","SPRR1B"
"1","KRT6B"
"1","IVL"
"1","DSG3"
"1","SPRR2A"
"1","LCE3E"
"1","SPRR1A"
"1","CNFN"
"1","LCE5A"
"1","SPRR2F"
"1","LCE3D"
"1","LCE3A"
"1","SPRR2D"
"1","KRT17"
"1","SPRR2B"
"1","KLK6"
"6","S100A12"
"6","S100A2"
"6","S100A9"
"6","S100A8"
"6","SERPINB3"
"6","FABP5"
"6","CTSL"
"6","S100A7A"
"6","DEFB4A"
"6","CTSC"
"6","SERPINB4"
"6","SERPINB13"
"6","CST7"
"6","S100A7"
"8","OASL"
"8","CGAS"
"8","OAS2"
"8","NLRC4"
"8","AIM2"
"8","MEFV"
"8","EPSTI1"
"8","ZBP1"
"8","MX1"
"8","IFI27"
"11","IL4R"
"11","JAK3"
"11","SOCS3"
"11","CSF2RB"
"11","IL21R"
"11","IL12RB1"
"11","IL2RA"
"11","IL13RA2"
"11","LEPR"
"11","CSF3R"
"10","LILRB3"
"10","LILRB1"
"10","LILRB2"
"10","ULBP2"
"10","CD300C"
"10","MAP1LC3C"
"12","TREM1"
"12","CLEC7A"
"12","TREML2"
"12","AQP9"
"12","SIRPG"
"12","TREM2"
"13","CDC25A"
"13","TICRR"
"13","RRM2"
"13","MCM10"
"13","ERCC6L"
"13","MYBL2"
"4","GJB2"
"4","GJB6"
"4","SLC4A8"
"4","FOXE1"
"4","SLC26A4"
"17","CYP19A1"
"17","ALDH1A3"
"17","HSD11B1"
"17","UGT1A7"
"17","CYP1A1"
"5","FOSL1"
"5","NR4A3"
"5","FOSB"
"9","UPP1"
"9","PNP"
"9","TYMP"
"14","AKR1B10"
"14","ADM2"
"14","HK3"
"16","IKZF3"
"16","POU2AF1"
"16","JCHAIN"
"18","WIF1"
"18","SFRP5"
"18","DKK1"
